Bruce21-329_8bp_148bp_6u	164	8u
Bruce21-329_8bp_148bp_6u	172-175	9u
Bruce04-1543_8bp_152bp_2u	144	1u
Bruce04-1543_8bp_152bp_2u	152	2u
Bruce04-1543_8bp_152bp_2u	160	3u
Bruce04-1543_8bp_152bp_2u	168	4u
Bruce04-1543_8bp_152bp_2u	176	5u
Bruce04-1543_8bp_152bp_2u	184	6u
Bruce04-1543_8bp_152bp_2u	192	7u
Bruce04-1543_8bp_152bp_2u	200	8u
Bruce04-1543_8bp_152bp_2u	208	9u
Bruce04-1543_8bp_152bp_2u	216	10u
Bruce04-1543_8bp_152bp_2u	224	11u
Bruce04-1543_8bp_152bp_2u	232	12u
Bruce04-1543_8bp_152bp_2u	240	13u
Bruce04-1543_8bp_152bp_2u	248	14u
Bruce04-1543_8bp_152bp_2u	256	15u
Bruce04-1543_8bp_152bp_2u	264	16u
Bruce04-1543_8bp_152bp_2u	272	17u
Bruce04-1543_8bp_152bp_2u	280	18u
Bruce04-1543_8bp_152bp_2u	288	19u
Bruce04-1543_8bp_152bp_2u	296	20u
Bruce04-1543_8bp_152bp_2u	304	21u
Bruce04-1543_8bp_152bp_2u	312	22u
Bruce04-1543_8bp_152bp_2u	320	23u
Bruce04-1543_8bp_152bp_2u	360	28u
Bruce07-1250_8bp_158bp_5u	134	2u
Bruce07-1250_8bp_158bp_5u	142	3u
Bruce07-1250_8bp_158bp_5u	150	4u
Bruce07-1250_8bp_158bp_5u	158	5u
Bruce07-1250_8bp_158bp_5u	166	6u
Bruce07-1250_8bp_158bp_5u	174	7u
Bruce07-1250_8bp_158bp_5u	182	8u
Bruce07-1250_8bp_158bp_5u	190	9u
Bruce07-1250_8bp_158bp_5u	198	10u
Bruce07-1250_8bp_158bp_5u	206	11u
Bruce07-1250_8bp_158bp_5u	214	12u
Bruce07-1250_8bp_158bp_5u	222	13u
Bruce07-1250_8bp_158bp_5u	230	14u
Bruce07-1250_8bp_158bp_5u	246	16u
Bruce09-588_8bp_156bp_7u	124	3u
Bruce09-588_8bp_156bp_7u	132	4u
Bruce09-588_8bp_156bp_7u	140	5u
Bruce09-588_8bp_156bp_7u	148	6u
Bruce09-588_8bp_156bp_7u	156	7u
Bruce09-588_8bp_156bp_7u	164	8u
Bruce09-588_8bp_156bp_7u	172	9u
Bruce09-588_8bp_156bp_7u	180	10u
Bruce09-588_8bp_156bp_7u	188	11u
Bruce09-588_8bp_156bp_7u	196	12u
Bruce09-588_8bp_156bp_7u	204	13u
Bruce09-588_8bp_156bp_7u	212	14u
Bruce09-588_8bp_156bp_7u	220	15u
Bruce09-588_8bp_156bp_7u	228	16u
Bruce09-588_8bp_156bp_7u	236	17u
Bruce09-588_8bp_156bp_7u	244	18u
Bruce09-588_8bp_156bp_7u	252	19u
Bruce09-588_8bp_156bp_7u	260	20u
Bruce09-588_8bp_156bp_7u	268	21u
Bruce09-588_8bp_156bp_7u	276	22u
Bruce09-588_8bp_156bp_7u	284	23u
Bruce09-588_8bp_156bp_7u	292	24u
Bruce16-548_8bp_152bp_3u	144	2u
Bruce16-548_8bp_152bp_3u	152	3u
Bruce16-548_8bp_152bp_3u	160	4u
Bruce16-548_8bp_152bp_3u	168	5u
Bruce16-548_8bp_152bp_3u	176	6u
Bruce16-548_8bp_152bp_3u	184	7u
Bruce16-548_8bp_152bp_3u	192	8u
Bruce16-548_8bp_152bp_3u	200	9u
Bruce16-548_8bp_152bp_3u	208	10u
Bruce16-548_8bp_152bp_3u	216	11u
Bruce16-548_8bp_152bp_3u	224	12u
Bruce16-548_8bp_152bp_3u	232	13u
Bruce16-548_8bp_152bp_3u	240	14u
Bruce16-548_8bp_152bp_3u	248	15u
Bruce16-548_8bp_152bp_3u	254	16u
Bruce16-548_8bp_152bp_3u	270	18u
Bruce30-1505_8bp_151bp_6u	119	2u
Bruce30-1505_8bp_151bp_6u	127	3u
Bruce30-1505_8bp_151bp_6u	135	4u
Bruce30-1505_8bp_151bp_6u	143	5u
Bruce30-1505_8bp_151bp_6u	151	6u
Bruce30-1505_8bp_151bp_6u	159	7u
